epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,73.4104,1.67617,2.47546,1.44321,0.65611,0.43289,0.46641,0.30096,1.68128,2.52092,1.57459,0.00995098,0.00331699,0.00995098,0.00331699,0.00995098,0.00331699,0.00995098,0.00331699
2,138.977,1.58139,1.58706,1.2734,0.5957,0.53996,0.56736,0.36091,1.50193,1.97719,1.37604,0.0198522,0.00661741,0.0198522,0.00661741,0.0198522,0.00661741,0.0198522,0.00661741
3,202.274,1.67201,1.53671,1.28652,0.50559,0.54371,0.52534,0.29587,1.746,2.18123,1.63711,0.0296545,0.00988482,0.0296545,0.00988482,0.0296545,0.00988482,0.0296545,0.00988482
4,265.827,1.71363,1.51249,1.31543,0.66503,0.4644,0.49026,0.27293,1.71552,1.80564,1.56546,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,329.259,1.67807,1.40192,1.30399,0.56492,0.50809,0.52665,0.31074,1.70493,1.6056,1.57996,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,390.998,1.61174,1.27121,1.27958,0.61237,0.62292,0.54663,0.34561,1.60019,1.40582,1.45934,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,453.968,1.60221,1.21699,1.26146,0.76971,0.59053,0.65175,0.41556,1.58141,1.48012,1.43266,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,517.133,1.58265,1.18772,1.24552,0.61217,0.53561,0.57038,0.39154,1.61041,1.48787,1.52235,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,579.212,1.56452,1.14357,1.23206,0.60063,0.64942,0.62463,0.41492,1.55431,1.3203,1.46037,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,641.191,1.55269,1.11772,1.22954,0.81872,0.66241,0.70226,0.47661,1.54972,1.1576,1.48224,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,704.004,1.52759,1.08191,1.21201,0.7106,0.64482,0.68265,0.45562,1.48887,1.1855,1.37697,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,765.186,1.50907,1.06535,1.20508,0.85382,0.5896,0.72331,0.5183,1.48932,1.14762,1.37267,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
13,828.075,1.51191,1.04765,1.19866,0.81014,0.61122,0.65849,0.46061,1.48773,1.10064,1.36144,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
14,890.22,1.50618,1.03182,1.19253,0.80033,0.68809,0.7361,0.52443,1.46941,1.10568,1.36494,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
15,952.079,1.46799,0.99027,1.17893,0.84731,0.71559,0.74525,0.51588,1.46061,1.05221,1.3216,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
16,1015.04,1.46087,0.98102,1.17385,0.74936,0.60232,0.67812,0.47216,1.48237,1.15643,1.39678,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
17,1075.94,1.47495,0.97301,1.17244,0.74771,0.69483,0.73038,0.50511,1.45496,1.06117,1.35266,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
18,1137.34,1.45262,0.95782,1.16824,0.80936,0.74055,0.7719,0.55939,1.41334,1.02522,1.31372,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585
19,1200.24,1.42163,0.93888,1.15925,0.92214,0.71789,0.77738,0.55472,1.38038,0.99668,1.2957,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
